producto,marca,formato,cantidad,precio,supermercado
Manzanilla con anís,Tetería,Caja,40 unidades,"1,75 €",Dia
Manzanilla ,Tetería,Caja,25 unidades,"0,70 €",Dia
Infusión poleo menta,Tetería,Caja,25 unidades,"0,90 €",Dia
Infusión de jengibre con limón,Tetería,Caja,25 unidades,"1,40 €",Dia
Infusión buenas noches,Tetería,Caja,25 unidades,"1,25 €",Dia
Té negro sabor vainilla y caramelo,Tetería,Caja,24 g,"1,89 €",Dia
Té verde con hierbabuena,Tetería,Caja,25 unidades,"1,55 €",Dia
Infusión digestiva,Tetería,Caja,25 unidades,"1,25 €",Dia
Té rojo aromatizado,Tetería,Caja,25 unidades,"1,25 €",Dia
Té negro,Tetería,Caja,25 unidades,"0,90 €",Dia
Té verde,Tetería,Caja,25 unidades,"1,10 €",Dia
Frutos rojos con hibisco,Tetería,Caja,24 g,"1,89 €",Dia
Infusión relax,Tetería,Caja,25 unidades,"1,25 €",Dia
Infusión de cúrcuma con té matcha,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión quema-grasa,Pompadour,Caja,20 unidades,"2,79 €",Dia
Infusión tila,Tetería,Caja,25 unidades,"1,10 €",Dia
Infusión manzanilla con y anís,Hornimans,Caja,25 unidades,"1,99 €",Dia
Infusión frutal frambuesa y rooibos,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión con probióticos y manzanilla,Pompadour,Caja,15 unidades,"2,95 €",Dia
Té classic,Hornimans,Caja,40 unidades,"2,99 €",Dia
Infusión duerme bien,Pompadour,Caja,20 unidades,"2,79 €",Dia
Infusión tranquilidad,Compañía de las Indias,Caja,20 unidades,"2,25 €",Dia
Té rojo con anís y un toque de ciruela,Hornimans,Caja,20 unidades,"2,79 €",Dia
Té verde a la menta,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión de melatonina y pasiflora,Pompadour,Caja,15 unidades,"2,95 €",Dia
Infusión de propóleo y equinácea,Pompadour,Caja,15 unidades,"2,95 €",Dia
Infusión con probióticos y jengibre,Pompadour,Caja,15 unidades,"2,95 €",Dia
Infusión de frutos rojos agua fría,Pompadour,Caja,20 unidades,"2,75 €",Dia
Infusión sport con magnesio agua fría,Pompadour,Caja,20 unidades,"2,75 €",Dia
Té verde con hierbabuena agua fría,Pompadour,Caja,20 unidades,"2,75 €",Dia
Té negro con limón agua fría,Pompadour,Caja,20 unidades,"2,75 €",Dia
Infusión elimina gases,Susaron,Caja,10 unidades,"1,95 €",Dia
Infusión de jengibre y limón,Hornimans,Caja,15 unidades,"2,79 €",Dia
Infusión de jengibre y arándanos,Hornimans,Caja,15 unidades,"2,79 €",Dia
Infusión de jengibre y naranja,Hornimans,Caja,15 unidades,"2,79 €",Dia
"Infusión de maca con jengibre, canela y naranja",Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión delgaxan fibra,Pompadour,Caja,20 unidades,"2,79 €",Dia
Rooibos y pétalos de girasol,Tetería,Caja,24 g,"1,89 €",Dia
Té verde kombucha con jengibre y limón,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión de arándanos,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión infu relax,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión tila,Hornimans,Caja,40 unidades,"2,99 €",Dia
Infusión poleo menta,Hornimans,Caja,40 unidades,"2,99 €",Dia
Infusión manzanilla,Hornimans,Caja,40 unidades,"2,99 €",Dia
Infusión jengibre con y limón,Pompadour,Caja,20 unidades,"2,79 €",Dia
Infusión manzanilla con miel,Hornimans,Caja,25 unidades,"1,99 €",Dia
Té verde con jengibre y naranja,Pompadour,Caja,20 unidades,"2,79 €",Dia
Infusión cola de caballo,Pompadour,Caja,20 unidades,"2,79 €",Dia
Té verde extra puro,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infusión digestive,Pompadour,Caja,20 unidades,"2,79 €",Dia
Infusión laxsana sabor ciruela,Susaron,Caja,20 unidades,"2,99 €",Dia
Té slim con té matcha,Hornimans,Caja,20 unidades,"2,79 €",Dia
Infu sueños,Hornimans,Caja,20 unidades,"2,79 €",Dia
